2024-02-25 20:34:54 | INFO | 跟单猿交易系统启动，跟随交易员：823664FB73B79E41
2024-02-25 21:34:44 | INFO | 跟单猿交易系统启动，跟随交易员：823664FB73B79E41
2024-02-25 22:49:36 | WARNING | 交易失败，交易金额过低，请重新设置任务单笔跟单金额。
2024-02-25 22:59:40 | WARNING | 交易失败，当前账户为简单交易模式，请在交易所合约交易页面进行手动调整。无需终止本次跟单任务，交易模式调整完成后，如有新的交易订单，将正常交易。
2024-02-26 00:09:57 | SUCCESS | 进行平仓操作，品种:ETC-USDT-SWAP，方向：long
2024-02-26 00:15:53 | SUCCESS | 进行平仓操作，品种:FIL-USDT-SWAP，方向：long
2024-02-26 22:37:44 | INFO | 跟单猿交易系统启动，跟随交易员：823664FB73B79E41
2024-02-26 22:53:49 | INFO | 跟单猿交易系统启动，跟随交易员：823664FB73B79E41
2024-02-26 22:54:21 | WARNING | 交易失败，当前账户为简单交易模式，请在交易所合约交易页面进行手动调整。无需终止本次跟单任务，交易模式调整完成后，如有新的交易订单，将正常交易。
2024-02-26 22:54:35 | WARNING | 交易失败，当前账户为简单交易模式，请在交易所合约交易页面进行手动调整。无需终止本次跟单任务，交易模式调整完成后，如有新的交易订单，将正常交易。
2024-02-26 22:56:52 | WARNING | 交易失败，当前账户为简单交易模式，请在交易所合约交易页面进行手动调整。无需终止本次跟单任务，交易模式调整完成后，如有新的交易订单，将正常交易。
2024-02-26 22:56:54 | WARNING | 交易失败，当前账户为简单交易模式，请在交易所合约交易页面进行手动调整。无需终止本次跟单任务，交易模式调整完成后，如有新的交易订单，将正常交易。
2024-02-26 22:57:12 | WARNING | 交易失败，当前账户为简单交易模式，请在交易所合约交易页面进行手动调整。无需终止本次跟单任务，交易模式调整完成后，如有新的交易订单，将正常交易。
2024-02-26 22:57:15 | WARNING | 交易失败，当前账户为简单交易模式，请在交易所合约交易页面进行手动调整。无需终止本次跟单任务，交易模式调整完成后，如有新的交易订单，将正常交易。
2024-02-26 22:58:01 | WARNING | 交易失败，当前账户为简单交易模式，请在交易所合约交易页面进行手动调整。无需终止本次跟单任务，交易模式调整完成后，如有新的交易订单，将正常交易。
2024-02-26 23:00:44 | WARNING | 交易失败，当前账户为简单交易模式，请在交易所合约交易页面进行手动调整。无需终止本次跟单任务，交易模式调整完成后，如有新的交易订单，将正常交易。
2024-02-26 23:03:21 | WARNING | 交易失败，当前账户为简单交易模式，请在交易所合约交易页面进行手动调整。无需终止本次跟单任务，交易模式调整完成后，如有新的交易订单，将正常交易。
